number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_for_bin,params_subsample_freq,state
80,0.6852667011910927,2021-08-21 14:51:01.020834,2021-08-21 14:52:24.660599,0 days 00:01:23.639765,0.5173687873183614,4,18,26,0.5046908183566051,1.8769324413105937e-06,0.8567728122197916,2537,9,COMPLETE
81,0.6877265665458312,2021-08-21 14:52:24.661940,2021-08-21 14:53:57.826728,0 days 00:01:33.164788,0.44844813576060855,4,15,27,5.371543645156583,0.006635837670147037,0.8687564397220656,3704,9,COMPLETE
82,0.6885033661315381,2021-08-21 14:53:57.831793,2021-08-21 14:55:20.841029,0 days 00:01:23.009236,0.48756656627117423,4,17,28,2.098746026164747,0.01238838765977384,0.9026119405530284,3052,9,COMPLETE
83,0.68720870015536,2021-08-21 14:55:20.842792,2021-08-21 14:56:58.968636,0 days 00:01:38.125844,0.55498478973146,3,21,24,6.368189077627423,0.029749853534124477,0.7986988877338589,4146,8,COMPLETE
84,0.6888917659243915,2021-08-21 14:56:58.969873,2021-08-21 14:58:49.037438,0 days 00:01:50.067565,0.5051741229082795,3,3,26,1.2111726415042028,0.0003364672454343059,0.8808797366646179,3245,10,COMPLETE
85,0.6943293630243397,2021-08-21 14:58:49.038589,2021-08-21 15:00:06.731333,0 days 00:01:17.692744,0.42408524103251105,4,5,31,2.948925641153304,0.003573923198567525,0.8362859129853156,1410,6,COMPLETE
86,0.690574831693423,2021-08-21 15:00:06.732872,2021-08-21 15:01:22.652742,0 days 00:01:15.919870,0.4195189403456963,4,5,31,3.542217722706077,0.001968708867621973,0.7522548218299413,1436,6,COMPLETE
87,0.6824184360435007,2021-08-21 15:01:22.654133,2021-08-21 15:02:36.713231,0 days 00:01:14.059098,0.42037985861686794,4,20,29,9.203901108190276,0.002028568828996853,0.7516866842116701,1248,6,COMPLETE
88,0.68720870015536,2021-08-21 15:02:36.714566,2021-08-21 15:03:36.861742,0 days 00:01:00.147176,0.4352099030976486,4,5,31,3.6479802823699807,0.003655377899234995,0.835467381971973,1045,5,COMPLETE
89,0.6921284308648369,2021-08-21 15:03:36.863128,2021-08-21 15:04:42.124925,0 days 00:01:05.261797,0.7909541233532368,5,5,31,0.828195099778622,0.0015805551810217605,0.8075459654190792,1426,7,COMPLETE
90,0.6910926980838943,2021-08-21 15:04:42.126532,2021-08-21 15:05:38.685570,0 days 00:00:56.559038,0.7863999921112923,4,6,31,0.8896087933940973,0.007658118388745582,0.8091185421498372,1455,7,COMPLETE
91,0.686431900569653,2021-08-21 15:05:38.690390,2021-08-21 15:06:37.785115,0 days 00:00:59.094725,0.79999514201958,5,6,31,0.8696856723305186,0.008025217981051411,0.806904916695182,1463,7,COMPLETE
92,0.6799585706887623,2021-08-21 15:06:37.786506,2021-08-21 15:07:18.741070,0 days 00:00:40.954564,0.8610266396379055,5,7,30,0.5335562323329468,0.001408289140999637,0.7756294939129059,713,7,COMPLETE
93,0.6807353702744692,2021-08-21 15:07:18.742428,2021-08-21 15:08:13.291738,0 days 00:00:54.549310,0.813630046130549,5,8,31,0.2537388203902926,0.0034735200418816513,0.7481996030918832,1365,4,COMPLETE
94,0.6910926980838943,2021-08-21 15:08:13.302473,2021-08-21 15:09:10.271006,0 days 00:00:56.968533,0.7320209316861331,4,4,30,1.1199677920336248,0.014933930111182237,0.8206065837021919,1726,6,COMPLETE
95,0.687079233557742,2021-08-21 15:09:10.272561,2021-08-21 15:10:09.363602,0 days 00:00:59.091041,0.7668243898663583,6,6,30,1.2306330727001529,0.015833190089655044,0.8118770636470596,1655,6,COMPLETE
96,0.680864836872087,2021-08-21 15:10:09.364915,2021-08-21 15:10:49.405191,0 days 00:00:40.040276,0.7390192145297216,4,4,29,0.14632273258951636,0.0006907721305631517,0.856486693448279,1023,8,COMPLETE
97,0.6831952356292077,2021-08-21 15:10:49.406533,2021-08-21 15:11:38.199061,0 days 00:00:48.792528,0.695053369397124,4,5,30,0.44745821055421964,0.11760085345929723,0.8255538856618194,1786,1,COMPLETE
98,0.6857845675815639,2021-08-21 15:11:38.200965,2021-08-21 15:12:31.971054,0 days 00:00:53.770089,0.7847162626738485,5,17,15,6.561726770743885,0.053164223403042166,0.8457156178824594,2055,5,COMPLETE
